"customer","min_q","min_prod","min_date","st","max_q","max_prod","max_date","st-2","avg_q"
"Boo",1,"Grapes","2020-12-18","NJ",1000,"Dates","2020-02-24","NY",487.50581915846016
"Boo",1,"Grapes","2020-12-18","NJ",1000,"Fish","2018-04-10","PA",487.50581915846016
"Boo",1,"Grapes","2020-12-18","NJ",1000,"Cherry","2017-03-04","NY",487.50581915846016
"Chae",1,"Apple","2016-10-22","CT",999,"Jellies","2018-05-02","CT",500.4977210574294
"Claire",4,"Ham","2018-05-20","CT",1000,"Fish","2016-01-06","CT",504.35239852398524
"Dan",1,"Dates","2020-08-13","PA",1000,"Apple","2018-01-21","NJ",508.2642669007902
"Dan",1,"Cherry","2017-02-18","NY",1000,"Apple","2018-01-21","NJ",508.2642669007902
"Emily",2,"Butter","2016-03-18","NJ",999,"Cherry","2020-04-07","PA",471.7097061442565
"Helen",1,"Fish","2018-05-27","CT",1000,"Eggs","2020-10-24","PA",502.5
"Helen",1,"Grapes","2017-07-23","PA",1000,"Eggs","2020-10-24","PA",502.5
"Helen",1,"Apple","2016-04-01","PA",1000,"Eggs","2020-10-24","PA",502.5
"Helen",1,"Eggs","2018-01-18","CT",1000,"Eggs","2020-10-24","PA",502.5
"Mia",1,"Ice","2019-08-11","PA",999,"Cherry","2019-08-19","NJ",500.55045045045046
"Sam",1,"Apple","2020-09-14","PA",1000,"Grapes","2020-12-04","NJ",511.1669658886894
"Sam",1,"Dates","2019-09-04","NJ",1000,"Cherry","2017-02-28","NY",511.1669658886894
"Sam",1,"Dates","2019-09-04","NJ",1000,"Cherry","2019-07-15","NY",511.1669658886894
"Sam",1,"Apple","2020-09-14","PA",1000,"Cherry","2019-07-15","NY",511.1669658886894
"Sam",1,"Dates","2019-09-04","NJ",1000,"Apple","2020-06-13","NJ",511.1669658886894
"Sam",1,"Apple","2020-09-14","PA",1000,"Apple","2020-06-13","NJ",511.1669658886894
"Sam",1,"Dates","2019-09-04","NJ",1000,"Grapes","2020-12-04","NJ",511.1669658886894
"Sam",1,"Apple","2020-09-14","PA",1000,"Cherry","2017-02-28","NY",511.1669658886894
"Wally",1,"Butter","2020-11-17","CT",1000,"Jellies","2019-03-03","NY",517.9162162162162
"Wally",1,"Jellies","2018-05-16","CT",1000,"Jellies","2019-03-03","NY",517.9162162162162
"Wally",1,"Ham","2019-05-01","NJ",1000,"Jellies","2019-03-03","NY",517.9162162162162
